Authors,Article Title,Source Title,Publication Year,DOI,Source DB
"kwok, n; hanig, s; brown, dj; shen, w",how leader role identity influences the process of leader emergence: a social network analysis,LEADERSHIP QUARTERLY,2018,10.1016/j.leaqua.2018.04.003,WOS
"unsworth, kl; kragt, d; johnston-billings, a",am i a leader or a friend? how leaders deal with pre-existing friendships,LEADERSHIP QUARTERLY,2018,10.1016/j.leaqua.2018.07.003,WOS
"steffens, nk; haslam, sa; peters, k; quiggin, j",identity economics meets identity leadership: exploring the consequences of elevated ceo pay,LEADERSHIP QUARTERLY,2020,10.1016/j.leaqua.2018.10.001,WOS
"offermann, lr; thomas, kr; lanzo, la; smith, ln",achieving leadership and success: a 28-year follow-up of college women leaders,LEADERSHIP QUARTERLY,2020,10.1016/j.leaqua.2019.101345,WOS
"kwok, n; shen, w; brown, dj","i can, i am: differential predictors of leader efficacy and identity trajectories in leader development",LEADERSHIP QUARTERLY,2021,10.1016/j.leaqua.2020.101422,WOS
"haslam, sa; gaffney, am; hogg, ma; rast, de; steffens, nk",reconciling identity leadership and leader identity: a dual-identity framework,LEADERSHIP QUARTERLY,2022,10.1016/j.leaqua.2022.101620,WOS
"karelaia, n; guillén, l","me, a woman and a leader: positive social identity and identity conflict",ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES,2014,10.1016/j.obhdp.2014.08.002,WOS
"yeo, rk",get ready to shift: situational positioning of leadership identity and influence,ORGANIZATIONAL DYNAMICS,2020,10.1016/j.orgdyn.2018.11.001,WOS
"round, h; yamao, s; shao, b; klonek, f; sekiguchi, t; newman, a",fostering psychological capital self-efficacy in emerging female leaders: practical insights from an international leadership development program,ORGANIZATIONAL DYNAMICS,2024,10.1016/j.orgdyn.2024.101085,WOS
"mclaren, colin d. ; boardley, ian d. ; benson, alex j. ; martin, luc j. ; fransen, katrien ; herbison, jordan d. ; slatcher, richard b. ; carré, justin m. ; côté, jean ; bruner, mark w.",follow the leader: identity leadership and moral behaviour in social situations among youth sport teammates.,Psychology of Sport and Exercise,2021,10.1016/j.psychsport.2021.101940,PsycInfo
"zeier, k; plimmer, g; franken, e","developing shared leadership in a public organisation: processes, paradoxes and consequences",JOURNAL OF MANAGEMENT & ORGANIZATION,2021,10.1017/jmo.2018.78,WOS
"parry, ken ; faris, nezar",the confinement and empowerment of muslim leadership within the ‘iron cage of cultural complexity’: the case of an islamic setting within australia.,Journal of Management & Organization,2022,10.1017/jmo.2019.13,PsycInfo
"rudman, laurie a. ; phelan, julie e.",the effect of priming gender roles on women’s implicit gender beliefs and career aspirations.,Social Psychology,2010,10.1027/1864-9335/a000027,PsycInfo
"asgari, s; dasgupta, n; cote, ng",when does contact with successful ingroup members change self-stereotypes? a longitudinal study comparing the effect of quantity vs. quality of contact with successful individuals,SOCIAL PSYCHOLOGY,2010,10.1027/1864-9335/a000028,WOS
"wisse, barbara ; rus, diana",leader self-concept and self-interested behavior: the moderating role of power.,Journal of Personnel Psychology,2012,10.1027/1866-5888/a000054,PsycInfo
"renn, ka; ozaki, cc",psychosocial and leadership identities among leaders of identity-based campus organizations,JOURNAL OF DIVERSITY IN HIGHER EDUCATION,2010,10.1037/a0018564,WOS
"johnson, re; venus, m; lanaj, k; mao, cg; chang, ch","leader identity as an antecedent of the frequency and consistency of transformational, consideration, and abusive leadership behaviors",JOURNAL OF APPLIED PSYCHOLOGY,2012,10.1037/a0029043,WOS
"lanaj, k; foulk, ta; erez, a",energizing leaders via self-reflection: a within-person field experiment,JOURNAL OF APPLIED PSYCHOLOGY,2019,10.1037/apl0000350,WOS
"lanaj, k; gabriel, as; chawla, n",the self-sacrificial nature of leader identity: understanding the costs and benefits at work and home,JOURNAL OF APPLIED PSYCHOLOGY,2021,10.1037/apl0000505,WOS
"lanaj, k; jennings, re; ashford, sj; krishnan, s",when leader self-care begets other care: leader role self-compassion and helping at work,JOURNAL OF APPLIED PSYCHOLOGY,2022,10.1037/apl0000957,WOS
"bartels, amy l. ; wellman, ned",is it just me or am i the people’s choice? the stress and performance implications of (in)congruence between self- and other-identification as a leader or follower.,Journal of Applied Psychology,2023,10.1037/apl0001090,PsycInfo
"lanaj, k; gabriel, as; jennings, re",the importance of leader recovery for leader identity and behavior,JOURNAL OF APPLIED PSYCHOLOGY,2023,10.1037/apl0001092,WOS
"george, mailys m. ; strauss, karoline ; mell, julija n. ; vough, heather c.","when “who i am” is under threat: measures of threat to identity value, meanings, and enactment.",Journal of Applied Psychology,2023,10.1037/apl0001114,PsycInfo
"mamiseishvili, k; stuckey, a",foreign-born academic leaders in us higher education,JOURNAL OF DIVERSITY IN HIGHER EDUCATION,2022,10.1037/dhe0000405,WOS
"albino, judith",personal leadership identity and leadership frames: understanding what happened at penn state.,The Psychologist-Manager Journal,2013,10.1037/mgr0000004,PsycInfo
"steffens, nk; yang, j; jetten, j; haslam, sa; lipponen, j","the unfolding impact of leader identity entrepreneurship on burnout, work engagement, and turnover intentions",JOURNAL OF OCCUPATIONAL HEALTH PSYCHOLOGY,2018,10.1037/ocp0000090,WOS
"savani, k; zou, x",making the leader identity salient can be demotivating,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-APPLIED,2019,10.1037/xap0000178,WOS
"hannah, st; jennings, pl; nobel, oby",tactical military leader requisite complexity: toward a referent structure,MILITARY PSYCHOLOGY,2010,10.1080/08995605.2010.513253,WOS
"hodges, julie ; martin, graeme",can leadership branding work in theory and practice to resolve the integration-responsiveness problems facing multinational enterprises?,The International Journal of Human Resource Management,2012,10.1080/09585192.2011.654235,PsycInfo
"lanka, e; topakas, a; patterson, m",becoming a leader: catalysts and barriers to leader identity construction,EUROPEAN JOURNAL OF WORK AND ORGANIZATIONAL PSYCHOLOGY,2020,10.1080/1359432x.2019.1706488,WOS
"karp, tom ; helgø, thomas i. t.",leadership as identity construction: the act of leading people in organisations: a perspective from the complexity sciences.,Journal of Management Development,2009,10.1108/02621710911000659,PsycInfo
"cripps, kgh",art imitates life: art and architecture as a driving force for change,JOURNAL OF ORGANIZATIONAL CHANGE MANAGEMENT,2013,10.1108/09534811311307905,WOS
"alhadhrami, abdelrahman ; goby, valerie priscilla ; al-ansaari, yahya",women’s enactment of leadership in a heavily gender-marked islamic context: an exploration within the united arab emirates.,International Journal of Organizational Analysis,2018,10.1108/ijoa-08-2017-1206,PsycInfo
"lorencová, hana ; honsová, pavlína ; pauknerová, daniela ; jarošová, eva",how are leadership discourses reflected in the leadership identity of young adults?,Journal of Management Development,2024,10.1108/jmd-08-2023-0236,PsycInfo
"ryan, nf; hammond, m; maccurtain, s; cross, c",overcoming risk for women in leader identity development,JOURNAL OF MANAGERIAL PSYCHOLOGY,2021,10.1108/jmp-03-2019-0178,WOS
"ayoobzadeh, m; boies, k",from mentors to leaders: leader development outcomes for mentors,JOURNAL OF MANAGERIAL PSYCHOLOGY,2020,10.1108/jmp-10-2019-0591,WOS
"coyle, pt; foti, r",do leaders and followers see eye to eye? exploring patterns of congruent expectations and self-views in leader-follower relationships,LEADERSHIP & ORGANIZATION DEVELOPMENT JOURNAL,2022,10.1108/lodj-06-2021-0274,WOS
"zheng, w; muir, d",embracing leadership: a multi-faceted model of leader identity development,LEADERSHIP & ORGANIZATION DEVELOPMENT JOURNAL,2015,10.1108/lodj-10-2013-0138,WOS
"kragt, d; guenter, h",why and when leadership training predicts effectiveness: the role of leader identity and leadership experience,LEADERSHIP & ORGANIZATION DEVELOPMENT JOURNAL,2018,10.1108/lodj-11-2016-0298,WOS
